City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed
Bangkok,Thailand,19/3/2023,86.57,25.19,99.88,30.63,4.46,36.29,17.67,59.35,13.76
Istanbul,Turkey,16/2/2023,50.63,97.39,48.14,8.71,3.4,144.16,3.46,67.51,6.36
Rio de Janeiro,Brazil,13/11/2023,130.21,57.22,98.51,9.92,0.12,179.31,25.29,29.3,12.87
Mumbai,India,16/3/2023,119.7,130.52,10.96,33.03,7.74,38.65,23.15,99.97,7.71
Paris,France,4/4/2023,55.2,36.62,76.85,21.85,2,67.09,16.02,90.28,14.16
Los Angeles,USA,5/1/2023,121.28,196.39,86.17,28.74,2.64,46.86,18.53,43.01,3.96
Tokyo,Japan,17/9/2023,118.76,15.69,12.99,39.05,3.04,15.75,-1.37,17.76,17.66
New York,USA,23/11/2023,72.52,23.43,92.01,15.26,4.57,106.5,32.14,76.57,9.42
Tokyo,Japan,21/9/2023,131.46,145.57,10.13,25.1,9.08,181.72,-6.2,71.42,16.81
London,UK,13/9/2023,64.71,92.84,92.98,36.4,3.68,88.44,19.8,45.92,2.56
Rio de Janeiro,Brazil,11/9/2023,90,198.93,38.1,31.19,8.11,26.21,28.07,65.74,13.45
Rio de Janeiro,Brazil,26/4/2023,17.13,139.82,73.14,15.31,1.09,140.73,2.07,29.88,1.85
Mumbai,India,28/8/2023,65.36,133.71,67.95,22.34,7.46,156.39,-4.71,57.95,13.95
Seoul,South Korea,13/1/2023,57.67,125.1,72.26,44.36,2.08,118.49,-4.38,41.01,19.08
Cairo,Egypt,18/6/2023,59.3,133.7,50.14,3.48,8.96,43.33,9.14,47.53,15.13
Paris,France,15/5/2023,135.69,165.03,30.31,32.65,6.39,130.56,15.54,31.64,14.15
Cairo,Egypt,24/7/2023,47.14,49.91,78.01,35.11,5.85,30.43,-0.89,18.73,10.85
Mexico City,Mexico,26/1/2023,82.4,196.86,20.76,47.75,9.57,21.74,29.97,68.17,10.87
Istanbul,Turkey,7/6/2023,12.24,16.91,62.96,2.67,4.51,90.01,22.86,44.7,11.27
Berlin,Germany,2/11/2023,87.33,186.95,5.26,12.98,4.48,75.76,17.93,37.55,9.89
Bangkok,Thailand,25/10/2023,117.5,78.71,65.64,23.42,6.84,172.34,7.16,53.45,14.53
Beijing,China,26/10/2023,39.98,47.38,84.35,44.59,4.92,138.44,15.74,83.78,12.57
Sydney,Australia,3/7/2023,137.09,180.61,6.26,14.89,5.17,113.12,27.42,11.51,9.84
Dubai,UAE,21/4/2023,80.56,129.36,18.31,12.31,9.08,91.59,20.92,26.16,18.17
New York,USA,26/6/2023,82.4,80.55,91.9,46.52,0.27,146.03,30.84,49.96,17.45
Seoul,South Korea,22/1/2023,96.03,170.57,18.43,20.3,0.55,141.03,-4.44,74.21,17.44
Istanbul,Turkey,19/8/2023,20.37,119.29,18.03,31.37,2.86,140.94,-3.15,43.84,10.72
Toronto,Canada,13/3/2023,63.18,196.52,29.87,3.01,6.29,98.83,10.36,50.88,9.06
Istanbul,Turkey,8/1/2023,54.08,58.74,81.4,39.68,5.06,26.49,22.44,13.01,13.98
Berlin,Germany,4/11/2023,47.57,127.09,55.6,46.79,3.64,58.87,13.58,72.38,7.12
Rio de Janeiro,Brazil,4/4/2023,84.59,41.29,96.59,46.31,9.14,105.35,37.41,26.21,18.6
Seoul,South Korea,14/1/2023,47.79,38.17,39.92,35.19,6.69,13.69,7,26.77,13.1
Mexico City,Mexico,8/5/2023,120.9,33.7,97.53,9.28,5.67,191.24,22.76,66.9,6.25
Madrid,Spain,28/6/2023,61.28,163.36,40.2,19.43,3.64,128.34,10.56,79.73,2.6
Los Angeles,USA,17/7/2023,56.85,174.8,56.22,13.99,7.85,196.95,24.84,57.9,4.97
London,UK,6/7/2023,53.81,196.76,38.28,15.76,9.3,54.07,21.17,93.67,4.6
Los Angeles,USA,15/7/2023,149.74,50.31,31.21,28.64,8.16,19.81,2.64,18.87,16.16
Toronto,Canada,28/9/2023,72.01,191.78,95.75,21.45,2.42,181.34,10.24,42.57,12.95
New York,USA,12/10/2023,62.34,38.48,57.36,32.1,2.58,154.98,37.45,48.65,17.61
Bangkok,Thailand,13/3/2023,146.7,19.19,49.25,49.01,8.91,107.53,2.24,73.29,3.29
Madrid,Spain,26/5/2023,29.11,43.8,58.04,4.54,5.25,137.61,18.7,72.8,3.03
Mexico City,Mexico,18/8/2023,51.47,137.97,97.83,3.45,7.12,194.18,-3.68,43.75,13.95
Dubai,UAE,3/11/2023,115.42,112.95,32.17,25.88,1.52,59.51,-0.28,31.98,9.91
Tokyo,Japan,18/12/2023,62.02,110.1,81.69,38.72,7.55,93.17,16.39,53.11,19.18
